adme_microsom_stab_h, scaffold, 3, Success
adme_microsom_stab_h, scaffold, 5, Success
adme_microsom_stab_r, scaffold, 3, Success
adme_microsom_stab_r, scaffold, 5, Success
adme_permeability, scaffold, 3, Success
adme_permeability, scaffold, 5, Success
adme_ppb_h, scaffold, 3, Success
adme_ppb_h, scaffold, 5, Success
adme_ppb_r, scaffold, 3, Success
adme_ppb_r, scaffold, 5, Success
adme_solubility, scaffold, 3, Success
adme_solubility, scaffold, 5, Success
bace, scaffold, 3, Success
bace, scaffold, 5, Success
bbbp, scaffold, 3, Success
bbbp, scaffold, 5, Success
clintox, scaffold, 3, Success
clintox, scaffold, 5, Success
esol, scaffold, 3, Failure
esol, scaffold, 5, Failure
freesolv, scaffold, 3, Failure
freesolv, scaffold, 5, Failure
hiv, scaffold, 3, Success
hiv, scaffold, 5, Success
lipop, scaffold, 3, Success
lipop, scaffold, 5, Success
sider, scaffold, 3, Success
sider, scaffold, 5, Failure
toxcast, scaffold, 3, Failure
toxcast, scaffold, 5, Failure
adme_microsom_stab_h, datasail, 3, Success
adme_microsom_stab_h, datasail, 5, Success
adme_microsom_stab_r, datasail, 3, Success
adme_microsom_stab_r, datasail, 5, Success
adme_permeability, datasail, 3, Success
adme_permeability, datasail, 5, Success
adme_ppb_h, datasail, 3, Success
adme_ppb_h, datasail, 5, Success
adme_ppb_r, datasail, 3, Success
adme_ppb_r, datasail, 5, Success
adme_solubility, datasail, 3, Success
adme_solubility, datasail, 5, Success
bace, datasail, 3, Success
bace, datasail, 5, Success
bbbp, datasail, 3, Success
bbbp, datasail, 5, Success
clintox, datasail, 3, Success
clintox, datasail, 5, Failure
esol, datasail, 3, Success
esol, datasail, 5, Success
freesolv, datasail, 3, Success
freesolv, datasail, 5, Success
hiv, datasail, 3, Success
hiv, datasail, 5, Success
lipop, datasail, 3, Success
lipop, datasail, 5, Success
sider, datasail, 3, Success
sider, datasail, 5, Failure
toxcast, datasail, 3, Success
toxcast, datasail, 5, Success
